?‚é?,å£“å?,?»ä?,æº«åº¦,é«”ç?,LnV,LnP
0,118.9,3.022,276.2,0.000181,-8.619,4.778
0.005,118.9,3.022,276.2,0.000181,-8.619,4.778
0.01,118.8,3.023,276.2,0.000181,-8.619,4.777
0.015,118.9,3.022,276.2,0.000181,-8.619,4.778
0.02,118.9,3.022,276.2,0.000181,-8.619,4.778
0.025,118.9,3.022,276.2,0.000181,-8.619,4.778
0.03,118.9,3.022,276.2,0.000181,-8.619,4.778
0.035,119,3.022,276.2,0.000181,-8.619,4.779
0.04,119,3.022,276.2,0.000181,-8.619,4.779
0.045,118.9,3.023,276.2,0.000181,-8.619,4.778
0.05,118.9,3.022,276.2,0.000181,-8.619,4.778
0.055,118.9,3.022,276.2,0.000181,-8.619,4.778
0.06,118.9,3.022,276.2,0.000181,-8.619,4.778
0.065,118.9,3.023,276.2,0.000181,-8.619,4.778
0.07,118.9,3.022,276.2,0.000181,-8.619,4.778
0.075,118.8,3.023,276.2,0.000181,-8.619,4.777
0.08,118.9,3.022,276.2,0.000181,-8.619,4.778
0.085,118.7,3.024,276.2,0.000181,-8.619,4.776
0.09,118.8,3.022,276.2,0.000181,-8.619,4.777
0.095,118.8,3.022,276.2,0.000181,-8.619,4.777
0.1,118.9,3.022,276.2,0.000181,-8.619,4.778
0.105,118.9,3.022,276.2,0.000181,-8.619,4.778
0.11,118.9,3.022,276.2,0.000181,-8.619,4.778
0.115,118.9,3.022,276.2,0.000181,-8.619,4.778
0.12,118.9,3.022,276.2,0.000181,-8.619,4.778
0.125,118.9,3.023,276.2,0.000181,-8.619,4.778
0.13,118.9,3.023,276.2,0.000181,-8.619,4.778
0.135,118.8,3.025,276.2,0.000181,-8.618,4.777
0.14,118.9,3.022,276.2,0.000181,-8.619,4.778
0.145,118.9,3.023,276.2,0.000181,-8.619,4.778
0.15,118.8,3.022,276.2,0.000181,-8.619,4.777
0.155,118.8,3.022,276.2,0.000181,-8.619,4.777
0.16,118.7,3.022,276.3,0.000181,-8.619,4.776
0.165,118.9,3.022,276.2,0.000181,-8.619,4.778
0.17,118.9,3.022,276.2,0.000181,-8.619,4.778
0.175,118.9,3.022,276.2,0.000181,-8.619,4.778
0.18,118.9,3.023,276.2,0.000181,-8.619,4.778
0.185,118.9,3.02,276.3,0.000181,-8.619,4.778
0.19,118.8,3.022,276.2,0.000181,-8.619,4.777
0.195,118.9,3.022,276.2,0.000181,-8.619,4.778
0.2,118.9,3.022,276.2,0.000181,-8.619,4.778
0.205,118.9,3.022,276.2,0.000181,-8.619,4.778
0.21,118.9,3.022,276.2,0.000181,-8.619,4.778
0.215,118.8,3.022,276.2,0.000181,-8.619,4.777
0.22,118.9,3.022,276.2,0.000181,-8.619,4.778
0.225,118.9,3.022,276.2,0.000181,-8.619,4.778
0.23,118.9,3.023,276.2,0.000181,-8.619,4.778
0.235,118.9,3.023,276.2,0.000181,-8.619,4.778
0.24,118.9,3.022,276.2,0.000181,-8.619,4.778
0.245,118.9,3.023,276.2,0.000181,-8.619,4.778
0.25,118.9,3.022,276.2,0.000181,-8.619,4.778
0.255,118.8,3.022,276.2,0.000181,-8.619,4.777
0.26,118.9,3.02,276.3,0.000181,-8.619,4.778
0.265,118.9,3.022,276.2,0.000181,-8.619,4.778
0.27,118.9,3.023,276.2,0.000181,-8.619,4.778
0.275,118.9,3.022,276.2,0.000181,-8.619,4.778
0.28,118.9,3.022,276.2,0.000181,-8.619,4.778
0.285,118.8,3.022,276.2,0.000181,-8.619,4.777
0.29,118.8,3.022,276.2,0.000181,-8.619,4.777
0.295,118.8,3.023,276.2,0.000181,-8.619,4.777
0.3,118.9,3.022,276.2,0.000181,-8.619,4.778
0.305,118.9,3.022,276.2,0.000181,-8.619,4.778
0.31,118.9,3.022,276.2,0.000181,-8.619,4.778
0.315,118.8,3.022,276.2,0.000181,-8.619,4.777
0.32,118.9,3.022,276.2,0.000181,-8.619,4.778
0.325,118.9,3.022,276.2,0.000181,-8.619,4.778
0.33,118.9,3.022,276.2,0.000181,-8.619,4.778
0.335,118.9,3.022,276.2,0.000181,-8.619,4.778
0.34,118.9,3.02,276.2,0.000181,-8.619,4.778
0.345,118.9,3.023,276.2,0.000181,-8.619,4.778
0.35,118.9,3.022,276.2,0.000181,-8.619,4.778
0.355,118.9,3.022,276.2,0.000181,-8.619,4.778
0.36,118.9,3.023,276.3,0.000181,-8.619,4.778
0.365,118.9,3.022,276.2,0.000181,-8.619,4.778
0.37,118.9,3.023,276.2,0.000181,-8.619,4.778
0.375,118.8,3.022,276.2,0.000181,-8.619,4.777
0.38,118.9,3.022,276.2,0.000181,-8.619,4.778
0.385,118.7,3.023,276.2,0.000181,-8.619,4.776
0.39,118.9,3.024,276.2,0.000181,-8.619,4.778
0.395,118.9,3.023,276.2,0.000181,-8.619,4.778
0.4,118.9,3.023,276.3,0.000181,-8.619,4.778
0.405,118.9,3.022,276.2,0.000181,-8.619,4.778
0.41,118.9,3.022,276.2,0.000181,-8.619,4.778
0.415,118.8,3.022,276.2,0.000181,-8.619,4.777
0.42,118.9,3.022,276.2,0.000181,-8.619,4.778
0.425,118.9,3.022,276.2,0.000181,-8.619,4.778
0.43,118.9,3.022,276.2,0.000181,-8.619,4.778
0.435,118.8,3.024,276.2,0.000181,-8.619,4.777
0.44,118.9,3.022,276.2,0.000181,-8.619,4.778
0.445,118.9,3.022,276.2,0.000181,-8.619,4.778
0.45,118.8,3.022,276.2,0.000181,-8.619,4.777
0.455,118.9,3.022,276.2,0.000181,-8.619,4.778
0.46,118.9,3.022,276.3,0.000181,-8.619,4.778
0.465,118.9,3.024,276.2,0.000181,-8.619,4.778
0.47,118.9,3.022,276.2,0.000181,-8.619,4.778
0.475,118.9,3.023,276.2,0.000181,-8.619,4.778
0.48,118.9,3.022,276.2,0.000181,-8.619,4.778
0.485,118.9,3.022,276.3,0.000181,-8.619,4.778
0.49,118.9,3.022,276.2,0.000181,-8.619,4.778
0.495,118.9,3.023,276.2,0.000181,-8.619,4.778
0.5,118.9,3.022,276.2,0.000181,-8.619,4.778
0.505,118.9,3.022,276.2,0.000181,-8.619,4.778
0.51,118.9,3.022,276.2,0.000181,-8.619,4.778
0.515,118.9,3.022,276.2,0.000181,-8.619,4.778
0.52,118.9,3.022,276.2,0.000181,-8.619,4.778
0.525,118.9,3.023,276.2,0.000181,-8.619,4.778
0.53,118.9,3.022,276.2,0.000181,-8.619,4.778
0.535,118.9,3.023,276.3,0.000181,-8.619,4.778
0.54,118.9,3.022,276.2,0.000181,-8.619,4.778
0.545,118.9,3.022,276.2,0.000181,-8.619,4.778
0.55,118.8,3.022,276.2,0.000181,-8.619,4.777
0.555,118.9,3.022,276.2,0.000181,-8.619,4.778
0.56,118.9,3.022,276.2,0.000181,-8.619,4.778
0.565,118.9,3.022,276.2,0.000181,-8.619,4.778
0.57,118.9,3.022,276.2,0.000181,-8.619,4.778
0.575,118.9,3.022,276.2,0.000181,-8.619,4.778
0.58,118.9,3.022,276.2,0.000181,-8.619,4.778
0.585,118.9,3.024,276.2,0.000181,-8.619,4.778
0.59,118.9,3.023,276.2,0.000181,-8.619,4.778
0.595,118.9,3.023,276.2,0.000181,-8.619,4.778
0.6,118.8,3.022,276.2,0.000181,-8.619,4.777
0.605,118.9,3.022,276.2,0.000181,-8.619,4.778
0.61,118.8,3.022,276.2,0.000181,-8.619,4.777
0.615,118.9,3.022,276.2,0.000181,-8.619,4.778
0.62,118.9,3.022,276.2,0.000181,-8.619,4.778
0.625,118.9,3.023,276.2,0.000181,-8.619,4.778
0.63,118.9,3.022,276.2,0.000181,-8.619,4.778
0.635,118.9,3.023,276.3,0.000181,-8.619,4.778
0.64,118.9,3.024,276.3,0.000181,-8.619,4.778
0.645,118.9,3.022,276.2,0.000181,-8.619,4.778
0.65,118.9,3.022,276.2,0.000181,-8.619,4.778
0.655,118.9,3.022,276.2,0.000181,-8.619,4.778
0.66,118.8,3.022,276.2,0.000181,-8.619,4.777
0.665,118.9,3.023,276.2,0.000181,-8.619,4.778
0.67,118.9,3.023,276.2,0.000181,-8.619,4.778
0.675,118.9,3.022,276.2,0.000181,-8.619,4.778
0.68,118.9,3.022,276.2,0.000181,-8.619,4.778
0.685,118.9,3.023,276.2,0.000181,-8.619,4.778
0.69,118.9,3.022,276.2,0.000181,-8.619,4.778
0.695,118.9,3.022,276.2,0.000181,-8.619,4.778
0.7,118.9,3.024,276.2,0.000181,-8.619,4.778
0.705,118.9,3.022,276.2,0.000181,-8.619,4.778
0.71,119,3.022,276.2,0.000181,-8.619,4.779
0.715,118.9,3.022,276.2,0.000181,-8.619,4.778
0.72,118.9,3.022,276.2,0.000181,-8.619,4.778
0.725,118.9,3.022,276.2,0.000181,-8.619,4.778
0.73,118.9,3.022,276.2,0.000181,-8.619,4.778
0.735,119,3.02,276.2,0.000181,-8.619,4.779
0.74,118.9,3.022,276.2,0.000181,-8.619,4.778
0.745,118.9,3.022,276.2,0.000181,-8.619,4.778
0.75,118.8,3.022,276.2,0.000181,-8.619,4.777
0.755,118.8,3.022,276.2,0.000181,-8.619,4.777
0.76,119,3.022,276.2,0.000181,-8.619,4.779
0.765,118.9,3.023,276.2,0.000181,-8.619,4.778
0.77,118.9,3.023,276.2,0.000181,-8.619,4.778
0.775,118.9,3.023,276.2,0.000181,-8.619,4.778
0.78,118.9,3.023,276.2,0.000181,-8.619,4.778
0.785,118.8,3.023,276.2,0.000181,-8.619,4.777
0.79,118.9,3.024,276.2,0.000181,-8.619,4.778
0.795,118.8,3.024,276.2,0.000181,-8.619,4.777
0.8,118.8,3.024,276.2,0.000181,-8.619,4.777
0.805,118.9,3.024,276.2,0.000181,-8.619,4.778
0.81,118.9,3.024,276.3,0.000181,-8.619,4.778
0.815,118.9,3.024,276.2,0.000181,-8.619,4.778
0.82,118.9,3.024,276.2,0.000181,-8.619,4.778
0.825,118.8,3.024,276.2,0.000181,-8.619,4.777
0.83,118.8,3.022,276.2,0.000181,-8.619,4.777
0.835,118.9,3.022,276.2,0.000181,-8.619,4.778
0.84,118.9,3.02,276.2,0.000181,-8.619,4.778
0.845,119,3.019,276.2,0.000181,-8.619,4.779
0.85,119,3.018,276.2,0.000181,-8.62,4.779
0.855,119,3.017,276.2,0.000181,-8.62,4.779
0.86,119,3.017,276.2,0.000181,-8.62,4.779
0.865,119,3.016,276.2,0.00018,-8.62,4.779
0.87,119,3.013,276.2,0.00018,-8.62,4.779
0.875,119.1,3.009,276.2,0.00018,-8.621,4.78
0.88,119.3,3.005,276.3,0.00018,-8.622,4.781
0.885,119.4,3.001,276.2,0.00018,-8.622,4.782
0.89,119.6,2.989,276.3,0.00018,-8.624,4.784
0.895,120,2.979,276.4,0.000179,-8.626,4.787
0.9,120.2,2.966,276.4,0.000179,-8.628,4.789
0.905,120.7,2.949,276.5,0.000178,-8.631,4.793
0.91,121.2,2.93,276.5,0.000178,-8.634,4.797
0.915,121.9,2.908,276.6,0.000177,-8.638,4.803
0.92,122.5,2.883,276.8,0.000176,-8.642,4.808
0.925,123.4,2.852,277,0.000176,-8.647,4.815
0.93,124.3,2.82,277.1,0.000175,-8.653,4.823
0.935,125.4,2.778,277.3,0.000173,-8.66,4.832
0.94,126.6,2.738,277.6,0.000172,-8.667,4.841
0.945,127.8,2.692,277.8,0.000171,-8.675,4.851
0.95,129.4,2.64,278.2,0.000169,-8.684,4.863
0.955,131.1,2.587,278.5,0.000168,-8.694,4.876
0.96,132.9,2.529,278.9,0.000166,-8.704,4.89
0.965,135,2.465,279.4,0.000164,-8.716,4.905
0.97,137.1,2.398,279.8,0.000162,-8.728,4.921
0.975,139.7,2.325,280.4,0.00016,-8.742,4.939
0.98,142.6,2.251,281,0.000158,-8.756,4.96
0.985,145.4,2.17,281.6,0.000155,-8.771,4.979
0.99,148.6,2.089,282.4,0.000153,-8.787,5.001
0.995,151.9,2.003,283.1,0.00015,-8.804,5.023
1,155.3,1.92,283.9,0.000148,-8.821,5.045
1.005,159.4,1.833,285,0.000145,-8.839,5.071
1.01,163.1,1.748,285.8,0.000142,-8.857,5.094
1.015,167,1.664,286.7,0.00014,-8.874,5.118
1.02,171.1,1.584,287.8,0.000138,-8.892,5.142
1.025,175.2,1.503,288.9,0.000135,-8.91,5.166
1.03,179,1.429,290,0.000133,-8.926,5.188
1.035,182.9,1.357,291.1,0.000131,-8.943,5.209
1.04,186.8,1.292,292.1,0.000129,-8.958,5.23
1.045,190.6,1.232,293.2,0.000127,-8.972,5.25
1.05,194,1.176,294.3,0.000125,-8.985,5.268
1.055,197.3,1.126,295.4,0.000124,-8.997,5.285
1.06,200.3,1.075,296.5,0.000122,-9.009,5.3
1.065,203.4,1.033,297.5,0.000121,-9.02,5.315
1.07,206.1,0.992,298.5,0.00012,-9.03,5.328
1.075,208.8,0.956,299.4,0.000119,-9.039,5.341
1.08,211.3,0.92,300.3,0.000118,-9.048,5.353
1.085,213.3,0.888,301.3,0.000117,-9.056,5.363
1.09,215.5,0.859,302.2,0.000116,-9.064,5.373
1.095,217.6,0.831,303.1,0.000115,-9.071,5.383
1.1,219.7,0.807,303.8,0.000114,-9.077,5.392
1.105,221.5,0.779,304.6,0.000113,-9.085,5.401
